throughput,avg_speed,conflicts,avg_wait,aggressive_ratio
2211.3333333333335,1.9620562953486016,0.0,0.09999999999997439,0.0
2348.0,2.0300111292530634,0.0,0.09999999999998492,0.1
2472.0,2.160273878638122,0.0,0.0999999999999976,0.2
2540.6666666666665,2.1241915701506437,0.0,0.09999999999999994,0.30000000000000004
2576.6666666666665,2.222542016357232,0.0,0.10000000000000032,0.4
2609.3333333333335,2.246355186065953,0.0,0.09999999999999606,0.5
2652.0,2.300598999607161,0.0,0.09999999999999101,0.6000000000000001
2712.0,2.295069522022192,0.0,0.09999999999998706,0.7000000000000001
2767.3333333333335,2.371513590670071,0.0,0.09999999999998026,0.8
2866.6666666666665,2.330877123093346,0.0,0.09999999999997618,0.9
2960.6666666666665,2.506139968668081,0.0,0.09999999999997254,1.0
